id,rle_mask
7a4dad7bb4,7842 1 7845 18 7930 37 8025 45 8114 59 8209 66 8305 72 8398 81 8493 87 8591 91 8691 92 8791 94 8891 95 8991 96 9091 97 9192 97 9293 98 9394 98 9495 98 9596 98 9697 98 9798 98 9899 98 10000 97 10101 97
f1e3ed1c10,13 76 114 76 215 75 315 75 417 73 518 73 619 73 719 74 820 75 921 75 1021 75 1122 76 1223 76 1324 76 1425 76 1526 76 1627 76 1728 76 1829 77 1930 77 2031 77 2132 77 2233 77 2316 1 2334 77 2435 77 2536 78 2637 77 2738 77 2819 1 2839 77 2920 2 2940 77 3041 77 3122 1 3142 77 3243 77 3344 77 3445 77 3546 76 3647 76 3749 75 3850 76 3951 75 4053 73 4153 74 4255 72 4356 72 4457 71 4559 7 4567 62 4660 63 4724 5 4762 61 4825 5 4864 60 4928 1 4966 58 5067 58 5168 9 5180 45 5269 57 5371 54 5472 9 5483 43 5574 52 5676 51 5777 7 5787 2 5791 37 5880 6 5887 41 5982 47 6083 46 6185 10 6196 34 6286 44 6389 7 6399 31 6491 4 6500 30 6594 3 6600 30 6701 29 6804 26 6905 25 7009 21 7113 16 7220 7
c003af5c7d,
d0a367e216,1 27 102 27 203 25 304 24 405 24 506 23 607 23 708 23 809 23 910 23 1011 23 1112 23 1213 23 1314 23 1415 23 1516 20 1620 16 1721 14 1823 9 1925 6
feb9ca88e3,
d9443d6374,
c190d5a96a,
f4394e72c5,
2c9e776fd0,
45b430d235,
d923825e05,8 94 108 95 209 95 310 95 411 95 512 95 614 94 715 94 816 94 917 94 1018 94 1119 94 1220 94 1321 94 1422 94 1523 94 1626 92 1727 92 1829 91 1930 91 2031 91 2132 91 2233 91 2334 91 2435 91 2536 91 2637 91 2738 91 2839 91 2941 90 3042 90 3144 89 3245 89 3346 89 3447 89 3548 89 3649 89 3751 88 3852 88 3953 88 4054 88 4156 87 4257 87 4357 88 4458 88 4560 87 4662 86 4764 85 4864 86 4966 85 5067 85 5168 85 5269 85 5370 85 5471 85 5572 85 5674 84 5775 84 5876 84 5978 83 6079 83 6180 83 6282 82 6383 8 6392 73 6486 5 6493 73 6588 79 6689 79 6790 5 6796 73 6891 79 6992 79 7094 3 7099 73 7195 78 7299 75 7402 73 7503 73 7604 73 7705 5 7711 67 7807 72 7908 72 8009 72 8115 67 8214 69 8317 67 8418 67 8519 67 8620 67 8721 67 8822 67 8924 66 9025 66 9126 66 9227 66 9328 66 9429 66 9531 65 9632 8 9643 54 9733 65 9835 64 9936 8 9946 3 9952 5 9958 42 10037 7 10048 2 10053 4 10060 4 10066 5 10072 29 10138 8 10148 4 10154 5 10161 4 10167 5 10174 4 10180 22
f21fb36d82,7886 1 7984 7 8084 11 8184 15 8284 17 8384 19 8485 20 8586 20 8687 21 8788 21 8889 21 8990 21 9091 20 9192 20 9293 19 9394 18 9495 18 9597 16 9700 14 9802 10 9903 9 10006 4
2c5fd36516,1 55 102 55 203 55 304 55 405 54 506 55 607 55 708 54 809 54 910 54 1011 54 1112 54 1213 54 1314 54 1415 54 1516 54 1617 54 1718 54 1819 54 1920 55 2021 54 2122 54 2223 55 2324 54 2425 54 2526 55 2627 54 2728 54 2829 55 2930 54 3031 54 3132 54 3233 54 3334 55 3435 54 3536 54 3637 54 3738 54 3839 55 3940 54 4041 54 4142 55 4243 54 4344 54 4445 55 4546 54 4647 54 4748 55 4849 54 4950 54 5051 54 5152 54 5253 55 5354 54 5455 54 5556 55 5657 54 5758 55 5859 55 5960 54 6061 55 6162 55 6263 55 6364 55 6465 54 6566 55 6667 55 6768 55 6869 55 6970 55 7071 55 7172 55 7273 55 7374 55 7475 55 7576 55 7677 55 7778 55 7879 54 7980 55 8081 54 8182 51 8234 2 8283 51 8335 3 8384 51 8436 2 8485 50 8537 2 8586 50 8638 3 8687 50 8739 2 8788 50 8840 2 8889 50 8942 1 8990 50 9091 50 9144 1 9192 50 9245 1 9293 50 9394 49 9495 49 9596 50 9697 50 9798 50 9899 50 10000 50 10101 49
1240a6ce3b,
6139ed81ab,
1516960973,1 58 102 58 203 56 304 54 405 53 506 54 607 54 708 55 809 56 910 57 1011 57 1112 58 1213 58 1314 58 1415 59 1516 59 1617 59 1718 58 1819 58 1920 58 2021 58 2122 58 2223 58 2324 58 2425 58 2526 58 2627 57 2728 57 2829 57 2930 57 3031 56 3132 56 3233 56 3334 56 3436 54 3538 52 3640 50 3741 49 3842 49 3943 48 4045 47 4146 47 4248 46 4351 43 4454 41 4556 39 4658 38 4760 32 4864 26 4966 19 5070 13
af1d47494c,
6059cedbfb,
21be159d97,
00f342f248,
e53ca23b39,71 31 171 32 272 32 373 32 474 32 575 32 676 32 777 32 878 32 978 33 1078 34 1179 34 1280 34 1380 35 1481 35 1582 35 1681 37 1782 37 1882 38 1982 39 2082 40 2182 41 2282 42 2380 45 2480 46 2580 47 2679 49 2778 51 2876 54 2973 58 3072 60 3168 65 3268 66 3367 68 3467 69 3568 69 3668 70 3769 70 3869 71 3969 72 4070 72 4171 72 4272 72 4373 72 4474 72 4575 72 4676 72 4777 72 4878 72 4980 71 5082 70 5183 70 5284 70 5385 70 5486 70 5588 69 5689 69 5790 7 5798 5 5805 4 5811 48 5893 11 5906 5 5912 48 5995 66 6098 64 6202 6 6209 54 6304 60 6408 1 6411 2 6418 47 6513 1 6519 47 6619 48 6720 48 6822 47 6923 47 7027 44 7132 2 7138 1 7144 1 7146 26 7245 28 7346 24 7452 15
c4e956d952,
e5121874bb,
2c47d41861,
f2db786fef,
592b9fc860,1 88 102 87 203 76 304 74 405 73 506 74 607 74 708 74 809 75 910 76 1011 77 1112 78 1191 1 1213 82 1314 85 1415 86 1516 86 1617 86 1718 86 1819 86 1920 87 2021 87 2122 86 2223 86 2324 86 2425 87 2526 87 2627 87 2728 87 2829 87 2930 86 3031 86 3132 87 3233 87 3334 87 3435 87 3536 86 3637 86 3738 87 3839 87 3940 87 4041 87 4142 86 4243 86 4344 87 4445 87 4546 87 4647 87 4748 86 4849 86 4950 86 5051 87 5152 87 5253 87 5354 86 5455 86 5556 86 5657 86 5758 87 5859 87 5960 87 6061 87 6162 87 6263 87 6364 88 6465 87 6566 87 6667 87 6768 87 6869 87 6970 87 7071 86 7172 85 7273 69 7344 13 7374 69 7445 12 7475 69 7546 11 7576 68 7648 7 7677 63 7742 3 7749 5 7778 63 7843 3 7850 4 7879 62 7944 2 7951 4 7980 62 8054 1 8081 57 8139 4 8182 56 8240 4 8283 56 8341 4 8384 56 8442 4 8485 56 8543 3 8586 55 8645 2 8687 51 8739 2 8788 51 8840 2 8889 51 8941 1 8990 40 9033 7 9091 39 9134 7 9192 38 9236 6 9293 35 9338 4 9394 32 9439 3 9495 31 9541 2 9596 30 9642 1 9697 30 9743 2 9798 30 9899 29 10000 21 10101 20
edfa8cdc1c,
583b5ed773,
fdb2660fd9,1 90 102 89 203 88 304 82 389 1 405 82 506 81 607 81 708 81 809 81 910 81 1011 81 1112 81 1213 82 1314 82 1399 2 1415 82 1499 2 1516 82 1600 2 1617 76 1694 5 1718 76 1795 4 1819 76 1897 3 1920 76 1998 3 2021 76 2099 2 2122 75 2200 2 2223 75 2324 75 2425 75 2526 76 2627 76 2728 75 2829 75 2930 75 3031 75 3132 75 3233 76 3334 76 3412 1 3435 75 3513 1 3536 75 3637 75 3738 75 3839 75 3940 75 4041 75 4142 75 4243 75 4344 70 4415 4 4445 70 4516 4 4546 75 4647 74 4748 74 4849 74 4950 74 5051 74 5152 75 5253 75 5354 75 5455 75 5556 75 5657 75 5758 75 5859 75 5960 75 6061 75 6162 76 6263 76 6364 76 6441 4 6465 81 6566 82 6667 83 6768 84 6869 85 6970 85 7071 85 7172 85 7273 85 7374 85 7475 85 7576 85 7677 85 7778 84 7879 84 7980 84 8081 84 8182 83 8283 83 8384 83 8485 83 8586 83 8687 76 8764 6 8788 76 8865 6 8889 76 8967 5 8990 75 9068 4 9091 75 9170 3 9192 74 9293 73 9394 71 9495 70 9596 69 9697 67 9798 66 9899 65 10000 63 10101 61
71f7d85904,
49960a0373,1 28 102 28 203 27 304 26 405 27 506 27 607 28 708 28 809 29 910 30 1011 31 1112 32 1213 33 1314 33 1415 35 1516 36 1617 38 1718 39 1819 41 1920 43 2021 45 2122 49 2223 56 2324 58 2425 61 2526 63 2627 64 2728 66 2829 68 2930 69 3031 69 3132 70 3233 71 3334 72 3435 73 3536 75 3637 76 3738 77 3839 78 3940 81 4041 82 4142 83 4243 83 4344 84 4445 85 4546 85 4647 86 4748 86 4849 87 4950 87 5051 87 5152 87 5253 87 5354 87 5455 87 5556 87 5657 87 5758 87 5859 87 5960 87 6061 87 6162 87 6263 87 6364 87 6465 87 6566 87 6667 87 6768 86 6869 86 6970 86 7071 85 7173 83 7275 74 7353 2 7377 71 7478 69 7580 66 7684 61 7787 48 7891 39 7995 32 8102 23 8208 15
71a00195c6,
89a0972631,
3621dd35dc,8418 4 8516 12 8614 16 8714 18 8813 21 8913 23 9013 24 9113 26 9213 27 9313 28 9413 28 9514 28 9615 28 9716 28 9817 28 9918 28 10019 27 10121 25
ce4593cd3e,9073 2 9170 8 9270 10 9370 11 9469 13 9568 15 9666 18 9759 26 9857 28 9958 28 10060 26 10162 24
24621be803,
54a5842258,
acd12248e4,
a7c5bb3d9a,
419e419f89,
b0f23f7415,
a3982b9d36,1 43 102 43 203 43 304 43 405 43 506 42 607 42 708 42 809 42 910 43 1011 42 1112 42 1213 42 1314 42 1415 42 1516 43 1617 43 1718 43 1819 42 1920 43 2021 42 2122 42 2223 43 2324 42 2425 42 2526 42 2627 42 2728 42 2829 42 2930 42 3031 42 3132 42 3233 42 3334 42 3435 42 3536 42 3637 42 3738 42 3839 42 3940 42 4041 42 4142 42 4243 42 4344 42 4445 43 4546 43 4647 43 4748 43 4849 43 4950 43 5051 43 5152 43 5253 43 5354 43 5455 43 5556 43 5657 43 5758 43 5859 43 5960 43 6061 43 6162 44 6263 43 6364 44 6465 44 6566 44 6667 43 6768 44 6869 43 6970 43 7071 43 7172 43 7273 43 7374 43 7475 43 7576 43 7677 43 7778 43 7879 43 7980 43 8081 43 8182 43 8283 43 8384 43 8485 42 8586 38 8625 3 8687 38 8726 3 8788 38 8828 2 8889 38 8929 2 8990 38 9091 38 9131 1 9192 37 9232 1 9293 37 9394 37 9495 37 9596 37 9697 37 9798 37 9899 37 10000 37 10101 36
1e2ff4572f,50 44 150 45 251 42 352 41 453 41 554 41 655 41 756 41 857 40 958 40 1059 40 1161 39 1262 39 1363 39 1464 39 1566 38 1667 38 1768 38 1869 38 1970 38 2071 37 2172 37 2273 37 2374 37 2475 37 2575 38 2676 38 2777 37 2877 38 2978 38 3078 39 3178 40 3275 43 3374 45 3473 45 3572 47 3671 49 3767 53 3865 56 3963 59 4057 66 4155 69 4253 72 4353 73 4452 75 4552 76 4651 78 4751 79 4851 80 4950 82 5051 82 5152 82 5253 82 5354 82 5455 82 5556 82 5657 82 5758 82 5859 82 5960 82 6061 82 6162 76 6240 3 6263 76 6341 3 6364 76 6442 3 6465 76 6543 3 6566 76 6645 1 6667 76 6768 76 6869 75 6970 75 7071 74 7172 73 7273 72 7374 71 7475 71 7576 71 7677 70 7778 70 7879 69 7980 69 8081 68 8182 67 8283 64 8384 63 8485 62 8586 61 8687 60 8788 59 8889 58 8990 57 9091 56 9192 54 9293 51 9394 49 9495 47 9596 45 9697 43 9798 41 9899 40 10000 38 10101 36
c82d0ed565,1 14 102 14 203 14 304 13 405 13 506 13 607 13 708 13 809 13 910 13 1011 12 1112 12 1213 12 1314 12 1415 12 1516 12 1617 11 1718 11 1819 11 1920 11 2021 11 2122 11 2225 9 2328 6 2430 5 2531 5 2634 3 2735 3 2837 1
598797da90,
d50e55dc71,1701 1 1798 8 1898 15 1997 24 2097 25 2196 27 2296 28 2396 29 2495 31 2592 35 2691 37 2788 41 2882 48 2978 53 3072 60 3169 64 3267 67 3363 72 3458 78 3558 79 3652 86 3751 88 3850 90 3950 91 4050 92 4149 94 4248 96 4348 97 4448 5465 9914 5 9920 12 9933 18 9952 55 10009 4 10015 5 10022 4 10028 4 10034 5 10041 4 10047 4 10053 5 10060 4 10066 5 10072 5 10078 31 10110 5 10116 5 10123 4 10129 4 10136 4 10142 4 10149 4 10155 4 10161 4 10168 4 10174 4 10180 5 10186 16
422ce49bbf,
5febd30d82,
8ba0e5e058,
2cd4095182,4854 2 4857 10 4868 1 4882 1 4884 2 4887 2 4890 2 4893 1 4895 5 4901 10 4912 1 4914 2 4952 72 5025 1 5051 79 5152 84 5253 87 5354 88 5455 90 5556 93 5657 94 5758 95 5859 96 5960 96 6061 98 6162 99 6263 3751 10015 5 10021 6 10028 5 10034 5 10040 6 10047 5 10053 62 10116 5 10123 5 10129 5 10135 5 10142 5 10148 5 10154 48
101926ea19,68 34 168 35 270 34 371 34 472 34 573 34 675 33 775 34 877 33 978 33 1079 33 1181 32 1282 32 1383 32 1484 32 1585 32 1686 32 1786 33 1887 33 1988 33 2089 33 2189 34 2290 34 2391 34 2492 34 2592 35 2692 36 2791 38 2891 39 2991 40 3091 41 3192 41 3291 43 3391 44 3491 45 3592 45 3691 47 3792 47 3893 47 3993 48 4092 50 4192 51 4292 52 4392 53 4493 53 4594 53 4694 54 4794 55 4894 56 4995 56 5095 57 5195 58 5295 59 5396 59 5497 59 5597 60 5697 61 5796 63 5895 65 5995 66 6096 66 6196 67 6296 68 6396 69 6497 69 6598 69 6698 70 6798 71 6899 71 6999 72 7100 72 7201 72 7302 72 7403 72 7504 72 7605 72 7706 72 7807 72 7908 72 8009 72 8109 73 8210 73 8311 73 8411 71 8512 70 8613 68 8714 67 8815 65 8917 62 9018 60 9119 58 9220 57 9322 54 9423 53 9525 49 9627 47 9728 45 9830 43 9931 41 10034 37 10136 33
f799c8d19f,
48088c96a6,13 84 114 84 215 84 316 83 417 83 518 83 619 84 720 84 822 83 923 83 1024 83 1126 83 1227 83 1329 82 1431 81 1532 81 1635 79 1738 77 1840 76 1942 75 2045 73 2147 72 2248 73 2350 72 2451 72 2552 72 2653 72 2754 73 2855 73 2955 74 3056 75 3156 76 3257 77 3358 77 3458 78 3559 78 3659 79 3761 78 3861 79 3962 79 4063 79 4164 79 4265 79 4365 80 4466 80 4567 80 4668 80 4769 80 4870 80 4971 80 5073 79 5174 79 5275 79 5376 79 5477 79 5578 79 5679 79 5780 79 5881 79 5983 78 6084 78 6185 78 6286 78 6387 78 6489 77 6590 77 6691 77 6792 77 6894 76 6995 76 7097 75 7197 76 7299 75 7400 75 7502 74 7604 73 7705 73 7806 73 7907 73 8008 73 8110 72 8211 72 8312 9 8324 60 8413 9 8425 60 8515 71 8617 70 8719 7 8727 61 8820 69 8923 12 8936 54 9025 4 9030 4 9037 54 9126 66 9228 65 9330 64 9432 61 9535 59 9637 9 9649 45 9738 11 9750 44 9839 56 9940 55 10042 52 10144 50
983fc78511,
d92a3528f6,
aed722bd3b,
4ef618552a,3765 11 3860 28 3954 41 4049 51 4145 60 4243 65 4344 67 4445 69 4546 70 4647 71 4748 72 4849 73 4950 74 5051 76 5152 78 5253 81 5354 82 5455 83 5556 84 5657 85 5758 86 5859 86 5960 87 6061 87 6162 88 6263 88 6364 88 6465 89 6557 2 6566 89 6656 4 6667 89 6757 5 6768 95 6869 95 6970 96 7071 96 7172 96 7273 96 7374 96 7475 96 7576 96 7677 96 7778 96 7879 96 7980 96 8081 96 8182 96 8283 96 8384 96 8485 96 8586 96 8687 96 8788 96 8889 96 8990 96 9091 95 9192 95 9293 95 9394 89 9484 4 9495 89 9596 88 9697 88 9798 87 9899 87 10000 86 10101 84
fcbe9ea985,52 24 153 23 255 21 357 18 459 16 561 14 663 13 766 10 871 4
39e91d3247,
